Mintgamai	*mintgamai	+Adv
l’	il	+Art+Def+Masc+Sg+Apo
atun	atun	+Noun+Masc+Sg
pon	pudair	+Verb+PresInd+3P+Sg+Apo
ins	ins	+Pron+Indef
survegnir	survegnir	+Verb+Inf
quella	quel	+Pron+Dem+Fem+Sg
en	en	+Prep
fitg	fitgar	+Verb+PresInd+1P+Sg
buna	bun	+Adj+Fem+Sg
qualitad	qualitad	+Noun+Fem+Sg
ed	e	+Conj+Apo
en	en	+Prep
gronda	grond	+Adj+Fem+Sg
varietad	varietad	+Noun+Fem+Sg
.	.	+Sent

La	*il	+Art+Def+Fem+Sg
charn	charn	+Noun+Fem+Sg
selvadia	selvadi	+Adj+Fem+Sg+UNKNOWN
è	esser	+Verb+PresInd+3P+Sg
anc	anc	+Adv
natira	natira	+Noun+Fem+Sg
pura	pura	+Noun+Fem+Sg
:	:	+Sent

Ils	*il	+Art+Def+Masc+Pl
animals	animals	+Noun+Masc+Pl
creschan	crescher	+Verb+PresInd+3P+Pl
en	en	+Prep
in’	in	+Art+Indef+Fem+Sg+Apo
aria	aria	+Noun+Fem+Sg
sauna	sauna	+Noun+Fem+Sg
,	,	+CM
en	en	+Prep
lur	lur	+Pron+Poss+Masc+Pl
spazi	spazi	+Noun+Masc+Sg
da	da	+Prep
viver	viver	+Verb+Inf
adattà	adattar	+Verb+PastPart+Masc+Sg
e	e	+Conj
cun	cun	+Prep
il	il	+Art+Def+Masc+Sg
nutriment	nutriment	+Noun+Masc+Sg
ch’	che	+Subj+Apo
els	els	+Pron+Pers+Nom+3P+Masc+Pl
han	avair	+Verb+PresInd+3P+Pl
gugent	gugent	+Adv
.	.	+Sent

Sajettada	*sajettada	+Noun+Fem+Sg
sco	sco	+Conj
ch’	che	+Subj+Apo
i	i	+Pron+Pers+Nom+3P+MF+Sg
s’	sai	+Pron+Refl+AccDat+Aton+3P+MF+Sg+Apo
auda	udir	+Verb+Impv+2P+Sg
,	,	+CM
bain	bun	+Adj^DB+Adv
preparada	preparà	+Adj+Fem+Sg
e	e	+Conj
cuschinada	cuschinar	+Verb+PastPart+Fem+Sg
professiunalmain	professiunal	+Adj^DB+Adv
è	esser	+Verb+PresInd+3P+Sg
la	il	+Art+Def+Fem+Sg
selvaschina	selvaschina	+Noun+Fem+Sg
in	in	+Art+Indef+Masc+Sg
punct	punct	+Noun+Masc+Sg
culinar	culinar	+Verb+Inf+UNKNOWN
culminant	culminant	+Noun+Masc+Sg+UNKNOWN
sin	sin	+Prep
la	il	+Art+Def+Fem+Sg
maisa	maisa	+Noun+Fem+Sg
d’	da	+Prep+Apo
atun	atun	+Noun+Masc+Sg
,	,	+CM
in	in	+Art+Indef+Masc+Sg
spir	spirar	+Verb+PresInd+1P+Sg
daletg	daletg	+Noun+Masc+Sg
che	che	+Subj
na	na	+Adv
duai	duair	+Verb+Impv+2P+Pl
betg	betg	+Adv
far	far	+Verb+Inf
patertgar	patertgar	+Verb+Inf+UNKNOWN
ad	a	+Prep+Apo
in	in	+Art+Indef+Masc+Sg
engrasch	engrasch	+Noun+Masc+Sg
sfurzà	sfurzar	+Verb+PastPart+Masc+Sg
,	,	+CM
ad	a	+Prep+Apo
antibiotica	antibiotica	+Noun+Fem+Sg+UNKNOWN
u	u	+Conj
schizunt	schizunt	+Adj+Masc+Sg+UNKNOWN
a	a	+Prep
la	il	+Art+Def+Fem+Sg
sturnadad	sturnadad	+Noun+Fem+Sg
bovina	bovin	+Adj+Fem+Sg+UNKNOWN
.	.	+Sent

Spezialmain	*spezial	+Adj^DB+Adv
bun	bun	+Noun+Masc+Sg
:	:	+Sent
