Tar	*tar	+Prep
la	il	+Art+Def+Fem+Sg
bilantscha	bilantscha	+Noun+Fem+Sg
dals	da	+Prep^|+Art+Def+Masc+Pl
lieus	lieu	+Noun+Masc+Pl
da	da	+Prep
sport	sport	+Noun+Masc+Sg
d’	da	+Prep+Apo
enviern	enviern	+Noun+Masc+Sg
sur	sur	+Adv
ils	il	+Art+Def+Masc+Pl
dis	di	+Noun+Masc+Pl
da	da	+Prep

festas	festa	+Noun+Fem+Pl
èsi	esser	+Verb+PresInd+3P+Sg^|+Pron+Pers+Nom+3P+MF+Sg
da	da	+Prep
differenziar	differenziar	+Verb+Inf
.	.	+Sent
Ils	*il	+Art+Def+Masc+Pl
giasts	giast	+Noun+Masc+Pl
èn	esser	+Verb+PresInd+3P+Pl
bain	bun	+Adj^DB+Adv
puspè	puspè	+Adv
vegnids	vegnir	+Verb+PastPart+Masc+Pl
en	en	+Prep

grond	grond	+Adj+Masc+Sg
dumber	dumber	+Noun+Masc+Sg
,	,	+CM
ma	jau	+Pron+Pers+AccDat+Aton+1P+MF+Sg
ils	il	+Art+Def+Masc+Pl
stemprads	stemprà	+Noun+Masc+Pl
d’enviern	d’enviern	+Prep
han	avair	+Verb+PresInd+3P+Pl
dentant	dentant	+Adv
impedì	impedir	+Verb+PastPart+Masc+Sg
las	il	+Art+Def+Fem+Pl

interpresas	interpresa	+Noun+Fem+Pl
da	da	+Prep
pendicularas	pendiculara	+Noun+Fem+Pl
da	da	+Prep
realisar	realisar	+Verb+Inf
ils	il	+Art+Def+Masc+Pl
fitg	fitg	+Adv
buns	bun	+Adj+Masc+Pl
resultats	resultat	+Noun+Masc+Pl
da	da	+Prep

l’	il	+Art+Def+Masc+Sg+Apo
onn	onn	+Noun+Masc+Sg
passà	passar	+Verb+PastPart+Masc+Sg
.	.	+Sent
Quai	*quai	+Pron+Dem
resorta	resortir	+Verb+PresInd+3P+Sg
dad	da	+Prep+Apo
ina	in	+Art+Indef+Fem+Sg
retschertga	retschertga	+Noun+Fem+Sg
che	che	+Subj
Grischun-	Grischun-	+Prop
Vacanzas	*vacanzas	+Noun+Fem+Pl

ha	avair	+Verb+PresInd+3P+Sg
fatg	far	+Verb+PastPart+Masc+Sg
tar	tar	+Prep
ils	il	+Art+Def+Masc+Pl
partenaris	partenari	+Noun+Masc+Pl
turistics	turistic	+Adj+Masc+Pl+UNKNOWN
.	.	+Sent
Las	*il	+Art+Def+Fem+Pl
Uniuns	*uniuns	+Noun+Fem+Pl
da	da	+Prep
traffic	traffic	+Noun+Masc+Sg
dumandadas	dumandar	+Verb+PastPart+Fem+Pl

–	–	+Punc
da	da	+Prep
Tavau	Tavau	+Prop
fin	fin	+Prep
Arosa	Arosa	+Prop
,	,	+CM
da	da	+Prep
l’	il	+Art+Def+Fem+Sg+Apo
Arena	*arena	+Noun+Fem+Sg
da	da	+Prep
las	il	+Art+Def+Fem+Pl
Alps	*alp	+Noun+Fem+Pl
e	e	+Conj
San	San	+Prop
Murezzan	Murezzan	+Prop
fin	fin	+Prep

Val	Val	+Prop
S	S	+Let
.Pieder	.Pieder	+Dig+Card
–	–	+Punc
èn	esser	+Verb+PresInd+3P+Pl
cuntentas	cuntent	+Adj+Fem+Pl
cun	cun	+Prep
la	il	+Art+Def+Fem+Sg
fatschenta	fatschenta	+Noun+Fem+Sg
durant	durant	+Prep
ils	il	+Art+Def+Masc+Pl
dis	di	+Noun+Masc+Pl
da	da	+Prep

festas	festa	+Noun+Fem+Pl
.	.	+Sent
Il	*il	+Art+Def+Masc+Sg
dumber	dumber	+Noun+Masc+Sg
da	da	+Prep
pernottaziuns	pernottaziuns	+Noun+Fem+Pl
han	avair	+Verb+PresInd+3P+Pl
ins	ins	+Pron+Indef
pudì	pudair	+Verb+PastPart+Masc+Sg
mantegnair	mantegnair	+Verb+Inf
sin	sin	+Prep
